model_name,img_link,released,body,os,storage,display_size,display_res,camera_pixels,camera_pixel_unit,video_pixels,ram_size,ram_size_unit,chipset,battery_size,battery_size_unit,battery_type
alcatel 3v (2019),https://fdn2.gsmarena.com/vv/bigpic/alcatel-3v-2019.jpg,"Released 2019, Q4","197.9g, 8.4mm thickness",Android 9.0,"32GB storage, microSDXC","6.7""",,16,MP,,3,GB RAM,,4000,mAh,
alcatel 3x (2019),https://fdn2.gsmarena.com/vv/bigpic/alcatel-3x-2019.jpg,"Released 2019, Q4","178g, 8.4mm thickness",Android 9.0,"64GB/128GB storage, microSDXC","6.52""",,16,MP,,4/6,GB RAM,,4000,mAh,
alcatel 1v (2019),https://fdn2.gsmarena.com/vv/bigpic/alcatel-1v-2019.jpg,"Released 2019, Q4","153.2g, 8.9mm thickness",Android 9.0 Pie,"16GB storage, microSDXC","5.5""",,8,MP,,1-3,GB RAM,,2460,mAh,
alcatel 3T 8,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3t-8.jpg,"Released 2018, October 08","279g, 8.3mm thickness",Android 8.1,"16GB/32GB storage, microSDXC","8.0""",,5,MP,,1-3,GB RAM,,4080,mAh,
alcatel Smart Tab 7,https://fdn2.gsmarena.com/vv/bigpic/alcatel-smart-tab-7-2019.jpg,"Released 2019, Q4","268g, 12mm thickness",Android 9.0,"16GB storage, microSDXC","7.0""",,0.3,MP,,1.5,GB RAM,,2580,mAh,
alcatel 3T 10,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3t-10-2019.jpg,"Released 2019, Q1","440g, 9mm thickness","Android 8.1, up to Android 9.0","16GB storage, microSDXC","10.0""",,2,MP,,2,GB RAM,,4080,mAh,
alcatel 3L,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3l.jpg,"Released 2019, Q1","145g, 8mm thickness",Android 8.1,"16GB storage, microSDXC","5.94""",,13,MP,,2,GB RAM,,3500,mAh,
alcatel 3 (2019),https://fdn2.gsmarena.com/vv/bigpic/alcatel-3-2019.jpg,"Released 2019, Q1","145g, 8mm thickness",Android 8.1,"32GB/64GB storage, microSDXC","5.94""",,13,MP,,3/4,GB RAM,,3500,mAh,
alcatel 1s,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1s.jpg,"Released 2019, Q1","146g, 8.6mm thickness",Android 9.0,"32GB/64GB storage, microSDXC","5.5""",,13,MP,,3/4,GB RAM,,3060,mAh,
alcatel 1x (2019),https://fdn2.gsmarena.com/vv/bigpic/alcatel-1x-2019.jpg,"Released 2019, Q1","130g, 8.3mm thickness",Android 8.1,"16GB storage, microSDXC","5.5""",,13,MP,,2,GB RAM,,3000,mAh,
alcatel 1c (2019),https://fdn2.gsmarena.com/vv/bigpic/alcatel-1c-2019.jpg,"Released 2019, Q1","148g, 10mm thickness", Android 8.1 Oreo,"8GB storage, microSDHC","5.0""",,5,MP,,1,GB RAM,,2000,mAh,
alcatel 1,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1-2018.jpg,"Released 2018, July","134g, 9.8mm thickness", Android 8.1 Oreo,"8GB/16GB storage, microSDHC","5.0""",,5,MP,,1,GB RAM,,2000,mAh,
alcatel Tetra,https://fdn2.gsmarena.com/vv/bigpic/alcatel-tetra.jpg,"Released 2018, September","150g, 9.4mm thickness",Android 8.1,"16GB storage, microSDXC","5.0""",,5,MP,,2,GB RAM,,2050,mAh,
alcatel 7,https://fdn2.gsmarena.com/vv/bigpic/alcatel-7-.jpg,"Released 2018, August","175g, 8.6mm thickness",Android 8.1,"32GB storage, microSDXC","6.0""",,12,MP,,2,GB RAM,,4000,mAh,
alcatel 5v,https://fdn2.gsmarena.com/vv/bigpic/alcatel-5v.jpg,"Released 2018, August","158g, 8.5mm thickness",Android 8.1,"32GB storage, microSDXC","6.2""",,12,MP,,3,GB RAM,,4000,mAh,
alcatel 5,https://fdn2.gsmarena.com/vv/bigpic/alcatel-5-.jpg,"Released 2018, February","144g, 8.4mm thickness",Android 7.1,"16GB/32GB storage, microSDXC","5.7""",,12,MP,,2/3,GB RAM,,3000,mAh,
alcatel 3v,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3v.jpg,"Released 2018, February","155g, 8.1mm thickness",Android 8.0,"16GB/32GB storage, microSDXC","6.0""",,12,MP,,2,GB RAM,,3000,mAh,
alcatel 3x (2018),https://fdn2.gsmarena.com/vv/bigpic/alcatel-3x-.jpg,"Released 2018, May","144g, 8.5mm thickness",Android 7.1,"16GB/32GB storage, microSDXC","5.7""",,13,MP,,2/3,GB RAM,,3000,mAh,
alcatel 3,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3-.jpg,"Released 2018, May","145g, 8.5mm thickness",Android 8.0,"16GB storage, microSDXC","5.5""",,13,MP,,2,GB RAM,,3000,mAh,
alcatel 1x,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1x-.jpg,"Released 2018, May","151g, 9.1mm thickness",Android 8.1 - 5059D only,"16GB storage, microSDHC","5.3""",,13,MP,,1/2,GB RAM,,2460,mAh,
alcatel 3c,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3c-.jpg,"Released 2018, May","169g, 7.9mm thickness",Android 7.1,"16GB storage, microSDXC","6.0""",,8,MP,,1,GB RAM,,3000,mAh,
alcatel 3088,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3088.jpg,Released 2019,"90g, 12.8mm thickness",KaiOS 2.5.1,"4GB 512MB storage, no card slot","2.4""",,2,MP,,512,MB RAM,,1530,mAh,
alcatel 1T 10,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1t-10.jpg,"Released 2018, June","415g, 9.4mm thickness",Android 8.1,"16GB storage, microSDXC","10.1""",,2,MP,,1,GB RAM,,4000,mAh,
alcatel 1T 7,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1t-7.jpg,"Released 2018, June","245g, 9.2mm thickness",Android 8.1,"8GB storage, microSDXC","7.0""",,2,MP,,1,GB RAM,,2580,mAh,
alcatel Idol 5s,https://fdn2.gsmarena.com/vv/bigpic/alcatel-idol-5s.jpg,"Released 2017, September","147g, 7.5mm thickness",Android 7.1,"32GB storage, microSDXC","5.2""",,12,MP,,3,GB RAM,,2850,mAh,
alcatel Idol 5,https://fdn2.gsmarena.com/vv/bigpic/alcatel-idol-5.jpg,"Released 2017, September","155g, 7.5mm thickness",Android 7.1,"16GB storage, microSDXC","5.2""",,13,MP,,3,GB RAM,,2800,mAh,
alcatel A7 XL,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a7-xl.jpg,"Released 2017, November","175g, 8.7mm thickness",Android 7.1,"32GB storage, microSDHC","6.0""",,12,MP,,3,GB RAM,,4000,mAh,
alcatel A7,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a7.jpg,"Released 2017, September","164, 9mm thickness",Android 7.0,"32GB storage, microSDXC","5.5""",,16,MP,,3,GB RAM,,4000,mAh,
alcatel U5 HD,https://fdn2.gsmarena.com/vv/bigpic/alcatel-u5-hd.jpg,"Released 2017, August","129g, 9mm thickness",Android 7.0,"8GB storage, microSDXC","5.0""",,13,MP,,1,GB RAM,,2050,mAh,
alcatel Pulsemix,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pulsemix.jpg,"Released 2017, August","145.7, 7.9mm thickness",Android 7.0,"16GB storage, microSDXC","5.2""",,8,MP,,2,GB RAM,,2800,mAh,
alcatel Idol 5s (USA),https://fdn2.gsmarena.com/vv/bigpic/alcatel-idol-5s-.jpg,"Released 2017, July","148.8g, 7.4mm thickness",Android 7.1,"32GB storage, microSDXC","5.2""",,12,MP,,3,GB RAM,,2620,mAh,
alcatel Flash (2017),https://fdn2.gsmarena.com/vv/bigpic/alcatel-flash-1.jpg,"Released 2017, May","155g, 8.7mm thickness",Android 6.0,"32GB storage, microSDXC","5.5""",,13,MP,,3,GB RAM,,3100,mAh,
alcatel U5,https://fdn2.gsmarena.com/vv/bigpic/alcatel-u5.jpg,"Released 2017, July",10mm thickness,Android 6.0,"8GB storage, microSDHC","5.0""",,5,MP,,1,GB RAM,,2050,mAh,
alcatel A5 LED,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a5-led.jpg,"Released 2017, June",7.7mm thickness,Android 6.0,"16GB/32GB storage, microSDHC","5.2""",,8,MP,,2/3,GB RAM,,2800,mAh,
alcatel A3,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3.jpg,"Released 2017, July",8.6mm thickness,Android 6.0,"16GB storage, microSDHC","5.0""",,13,MP,,1.5,GB RAM,,2460,mAh,
alcatel A3 XL,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3-xl-new.jpg,"Released 2017, July",7.9mm thickness,Android 7.0,"8GB/16GB storage, microSDHC","6.0""",,13,MP,,2,GB RAM,,3000,mAh,
alcatel Shine Lite,https://fdn2.gsmarena.com/vv/bigpic/alcatel-shine-lite.jpg,"Released 2016, October","156g, 7.5mm thickness",Android 6.0,"16GB storage, microSDXC","5.0""",,13,MP,,2,GB RAM,,2460,mAh,
alcatel Pixi 4 Plus Power,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pixi-4-plus-power.jpg,"Released 2016, October","202g, 9.9mm thickness",Android 6.0,"8GB storage, microSDHC","5.5""",,8,MP,,1,GB RAM,,5000,mAh,
alcatel Fierce 4,https://fdn2.gsmarena.com/vv/bigpic/alcatel-fierce-4.jpg,"Released 2016, August","163.9g, 8.1mm thickness",Android 6.0,"16GB storage, microSDXC","5.5""",,8,MP,,2,GB RAM,,2500,mAh,
alcatel X1,https://fdn2.gsmarena.com/vv/bigpic/alcatel-x1.jpg,"Released 2016, June","140g, 7mm thickness",Android 5.1,"16GB storage, microSDXC","5.0""",,13,MP,,2,GB RAM,,2150,mAh,
